ts,model,label,dataset,engine,unparsable,n_error,n_input_error,thinking,max_tokens,limit,smoke,n,n_pos_gold,n_pred_unsafe,precision,recall,f1,n_missing
2026-09-24 18:43:47,sing-guard-2b,SingGuard-2B,mmds-q2,vllm,0,0,0,fast,1024,,False,330,170,173,0.9827,1.0,0.9913,0
2026-09-24 18:46:32,sing-guard-2b,SingGuard-2B,mmds-r2,vllm,1,1,0,fast,1024,,False,330,129,119,0.9496,0.876,0.9113,0
2026-09-24 18:53:11,sing-guard-4b,SingGuard-4B,mmds-q,vllm,1,1,0,fast,1024,,False,330,170,140,1.0,0.8235,0.9032,0
2026-09-24 18:57:49,sing-guard-4b,SingGuard-4B,mmds-r,vllm,1,1,0,fast,1024,,False,327,129,112,0.9732,0.845,0.9046,0
2026-09-24 19:01:24,sing-guard-4b,SingGuard-4B,mmds-q2,vllm,0,0,0,fast,1024,,False,330,170,158,1.0,0.9294,0.9634,0
2026-09-24 19:06:17,sing-guard-4b,SingGuard-4B,mmds-r2,vllm,1,1,0,fast,1024,,False,330,129,96,0.9792,0.7287,0.8356,0
2026-09-24 19:12:31,sing-guard-2b,SingGuard-2B,mmds-q,recompute,1,,,,,,False,330,170,152,0.9934,0.8882,0.9379,
2026-09-24 19:12:31,sing-guard-2b,SingGuard-2B,mmds-q2,recompute,0,,,,,,False,330,170,173,0.9827,1.0,0.9913,
2026-09-24 19:12:31,sing-guard-2b,SingGuard-2B,mmds-r,recompute,1,,,,,,False,327,129,125,0.944,0.9147,0.9291,
2026-09-24 19:12:31,sing-guard-2b,SingGuard-2B,mmds-r2,recompute,1,,,,,,False,330,129,119,0.9496,0.876,0.9113,
2026-09-24 19:12:31,sing-guard-4b,SingGuard-4B,mmds-q,recompute,1,,,,,,False,330,170,140,1.0,0.8235,0.9032,
2026-09-24 19:12:31,sing-guard-4b,SingGuard-4B,mmds-q2,recompute,0,,,,,,False,330,170,158,1.0,0.9294,0.9634,
2026-09-24 19:12:31,sing-guard-4b,SingGuard-4B,mmds-r,recompute,1,,,,,,False,327,129,112,0.9732,0.845,0.9046,
2026-09-24 19:12:31,sing-guard-4b,SingGuard-4B,mmds-r2,recompute,1,,,,,,False,330,129,96,0.9792,0.7287,0.8356,
2026-09-24 19:12:31,sing-guard-8b,SingGuard-8B,mmds-q,recompute,1,,,,,,False,330,170,156,1.0,0.9176,0.9571,
2026-09-24 19:12:31,sing-guard-8b,SingGuard-8B,mmds-q2,recompute,0,,,,,,False,330,170,146,1.0,0.8588,0.9241,
2026-09-24 19:12:31,sing-guard-8b,SingGuard-8B,mmds-r,recompute,1,,,,,,False,327,129,109,0.9725,0.8217,0.8908,
2026-09-24 19:12:31,sing-guard-8b,SingGuard-8B,mmds-r2,recompute,1,,,,,,False,330,129,96,0.9792,0.7287,0.8356,
2026-09-25 14:15:52,qwen3-vl-4b,Qwen3-VL-4B,mmds-q,vllm,0,0,0,,512,,False,330,170,164,0.7622,0.7353,0.7485,0
2026-09-25 14:16:03,shieldgemma-2-4b,ShieldGemma-2,vlguard,classifier,0,0,0,,,,False,1000,442,791,0.4336,0.776,0.5564,0
2026-09-25 14:19:23,shieldgemma-2-4b,ShieldGemma-2,jailbreakv,classifier,0,0,0,,,,False,338,338,64,1.0,0.1893,0.3184,662
2026-09-25 14:19:41,qwen3-vl-4b,Qwen3-VL-4B,mmds-r,vllm,0,0,0,,512,,False,327,129,183,0.6011,0.8527,0.7051,0
2026-09-25 14:23:18,qwen3-vl-8b,Qwen3-VL-8B,mmds-q,vllm,0,0,0,,512,,False,330,170,65,1.0,0.3824,0.5532,0
2026-09-25 14:23:46,shieldgemma-2-4b,ShieldGemma-2,spa-vl,classifier,0,0,0,,,,False,530,265,489,0.501,0.9245,0.6499,0
2026-09-25 14:26:35,qwen3-vl-8b,Qwen3-VL-8B,mmds-q,vllm,0,0,0,,512,,False,330,170,65,1.0,0.3824,0.5532,0
2026-09-25 14:28:59,qwen3-vl-8b,Qwen3-VL-8B,mmds-r,vllm,0,0,0,,512,,False,327,129,72,0.9167,0.5116,0.6567,0
2026-09-25 14:32:26,qwen3-vl-8b,Qwen3-VL-8B,mmds-r,vllm,0,0,0,,512,,False,327,129,72,0.9167,0.5116,0.6567,0
2026-09-25 14:32:45,shieldgemma-2-4b,ShieldGemma-2,vlsbench,classifier,0,0,0,,,,False,1000,1000,366,1.0,0.366,0.5359,0
2026-09-25 14:39:14,shieldgemma-2-4b,ShieldGemma-2,mm-safety,classifier,0,0,0,,,,False,758,758,133,1.0,0.1755,0.2985,0
2026-09-25 14:47:38,shieldgemma-2-4b,ShieldGemma-2,beavertails-v,classifier,0,0,0,,,,False,1000,372,728,0.3846,0.7527,0.5091,0
2026-09-25 14:50:40,shieldgemma-2-4b,ShieldGemma-2,mmds-q,classifier,0,0,0,,,,False,330,170,120,0.5917,0.4176,0.4897,0
2026-09-25 14:53:39,shieldgemma-2-4b,ShieldGemma-2,mmds-r,classifier,0,0,0,,,,False,327,129,25,0.56,0.1085,0.1818,0
2026-09-25 15:01:01,safeguard-vl,SafeGuard-VL,vlguard,vllm,8,0,0,,512,,False,1000,442,364,0.739,0.6086,0.6675,0
2026-09-25 15:05:45,llavaguard-7b,LlavaGuard,vlguard,vllm,372,0,0,,256,,False,1000,442,626,0.3658,0.5181,0.4288,0
2026-09-25 15:11:35,llavaguard-7b,LlavaGuard,jailbreakv,vllm,45,0,0,,256,,False,1000,1000,300,1.0,0.3,0.4615,0
2026-09-25 15:14:39,safeguard-vl,SafeGuard-VL,jailbreakv,vllm,1,0,0,,512,,False,1000,1000,235,1.0,0.235,0.3806,0
2026-09-25 15:16:50,llavaguard-7b,LlavaGuard,spa-vl,vllm,65,0,0,,256,,False,530,265,142,0.4366,0.234,0.3047,0
2026-09-25 15:19:16,safeguard-vl,SafeGuard-VL,spa-vl,vllm,3,0,0,,512,,False,530,265,175,0.5029,0.3321,0.4,0
2026-09-25 15:28:16,llavaguard-7b,LlavaGuard,vlsbench,vllm,223,0,0,,256,,False,1000,1000,295,1.0,0.295,0.4556,0
2026-09-25 15:33:58,safeguard-vl,SafeGuard-VL,vlsbench,vllm,5,0,0,,512,,False,1000,1000,659,1.0,0.659,0.7945,0
2026-09-25 15:35:44,llavaguard-7b,LlavaGuard,mm-safety,vllm,0,0,0,,256,,False,758,758,37,1.0,0.0488,0.0931,0
2026-09-25 15:43:38,safeguard-vl,SafeGuard-VL,mm-safety,vllm,2,0,0,,512,,False,758,758,307,1.0,0.405,0.5765,0
2026-09-25 15:46:15,llavaguard-7b,LlavaGuard,beavertails-v,vllm,1,0,0,,256,,False,1000,372,235,0.4468,0.2823,0.346,0
2026-09-25 15:58:36,safeguard-vl,SafeGuard-VL,beavertails-v,vllm,11,0,0,,512,,False,1000,372,586,0.413,0.6505,0.5052,0
2026-09-25 16:06:29,safeguard-vl,SafeGuard-VL,mmds-q,vllm,1,1,0,,512,,False,330,170,45,0.8667,0.2294,0.3628,0
2026-09-25 16:14:17,safeguard-vl,SafeGuard-VL,mmds-r,vllm,2,1,0,,512,,False,327,129,54,0.7037,0.2946,0.4153,0
2026-09-25 16:59:21,llavashield-v1-7b,LLaVAShield,mmds-q,vllm,26,24,0,,1024,,False,330,170,130,1.0,0.7647,0.8667,0
2026-09-25 19:14:01,llavashield-v1-7b,LLaVAShield,mmds-r,vllm,26,25,0,,1024,,False,327,129,107,0.9159,0.7597,0.8305,0
2026-09-25 21:15:08,llavashield-v1-7b,LLaVAShield,vlguard,vllm,1,1,0,,1024,,False,1000,442,643,0.6594,0.9593,0.7816,0
2026-09-25 21:38:36,llavashield-v1-7b,LLaVAShield,jailbreakv,vllm,2,0,0,,1024,,False,1000,1000,936,1.0,0.936,0.9669,0
2026-09-25 21:52:07,llavashield-v1-7b,LLaVAShield,spa-vl,vllm,0,0,0,,1024,,False,530,265,516,0.5097,0.9925,0.6735,0
2026-09-25 22:33:00,llavashield-v1-7b,LLaVAShield,vlsbench,vllm,1,0,0,,1024,,False,1000,1000,984,1.0,0.984,0.9919,0
2026-09-25 23:02:56,llavashield-v1-7b,LLaVAShield,mm-safety,vllm,3,0,0,,1024,,False,758,758,754,1.0,0.9947,0.9974,0
2026-09-25 23:43:47,llavashield-v1-7b,LLaVAShield,beavertails-v,vllm,2,0,0,,1024,,False,1000,372,806,0.4591,0.9946,0.6282,0
